age,income,account_balance,existing_loans,marital_status,employment_status,education_level,debt_to_income_ratio,home_ownership,employment_duration,loan_purpose,state,dependents,annual_expenses,applied_for_home_loan
34,96618,26151,0,Divorced,Employed,High School,24.44,Own,8,Personal,FL,3,65228,1
30,91647,10613,4,Divorced,Unemployed,Master's,35.21,Mortgage,10,Auto Loan,CA,0,53739,0
45,39447,13541,4,Divorced,Self-Employed,High School,29.5,Mortgage,20,Home Loan,CA,2,78347,0
44,43905,46968,4,Married,Employed,Master's,43.38,Mortgage,16,Auto Loan,AZ,0,65541,0
40,96754,35660,0,Married,Employed,Bachelor's,18.04,Own,16,Personal,CA,0,17453,1
34,44819,64470,3,Single,Unemployed,Bachelor's,16.06,Own,4,Home Loan,FL,1,31774,0
29,99916,71333,0,Divorced,Unemployed,Bachelor's,23.54,Own,6,Home Loan,AZ,2,95484,0
44,110985,82287,0,Married,Employed,High School,38.39,Rent,25,Auto Loan,AZ,1,97929,1
58,135485,81443,0,Divorced,Self-Employed,High School,47.43,Mortgage,12,Education,FL,3,32089,0
48,145379,19483,2,Married,Self-Employed,Master's,40.28,Own,2,Education,FL,1,64528,0
43,81116,98392,0,Single,Self-Employed,Bachelor's,24.17,Own,17,Auto Loan,AZ,3,19606,1
48,65541,17637,1,Single,Self-Employed,High School,28.22,Rent,28,Home Loan,FL,3,18498,1
26,90632,31779,4,Divorced,Employed,High School,39.59,Mortgage,7,Auto Loan,FL,2,24854,0
53,95024,4417,3,Single,Employed,Master's,27.57,Rent,12,Personal,AZ,2,70041,0
29,87813,42409,4,Married,Unemployed,High School,14.04,Own,28,Education,CA,0,47173,0
33,80127,36558,0,Single,Employed,Master's,15.67,Own,3,Auto Loan,FL,1,12552,1
39,125665,24969,0,Married,Self-Employed,Master's,46.71,Own,17,Auto Loan,FL,1,58702,0
26,149629,75544,0,Married,Employed,Master's,36.87,Own,16,Personal,FL,4,62366,0
40,142117,78129,0,Married,Employed,Bachelor's,45.38,Own,5,Personal,CA,3,64492,0
26,144663,6915,0,Divorced,Unemployed,High School,21.93,Own,16,Education,CA,4,56884,0
39,60011,81940,4,Divorced,Unemployed,Bachelor's,30.78,Own,19,Auto Loan,CA,2,27596,0
56,140855,16263,4,Single,Self-Employed,Master's,42.94,Mortgage,23,Home Loan,FL,4,90179,0
30,57468,39011,3,Single,Unemployed,High School,45.57,Rent,28,Personal,CA,0,21017,0
40,91038,11440,1,Divorced,Self-Employed,Bachelor's,37.26,Mortgage,5,Home Loan,AZ,2,87237,0
27,84064,17911,1,Divorced,Employed,High School,38.46,Own,26,Personal,CA,3,31496,0
32,41701,51647,2,Married,Unemployed,Bachelor's,40.87,Mortgage,10,Education,AZ,2,88889,0
31,112734,96430,0,Single,Self-Employed,High School,43.14,Own,7,Personal,CA,4,48638,0
26,144850,41703,2,Divorced,Unemployed,Master's,30.05,Rent,26,Auto Loan,FL,4,60387,0
52,120066,7074,0,Divorced,Unemployed,Bachelor's,22.96,Own,27,Auto Loan,FL,3,68811,0
41,135689,83479,0,Divorced,Self-Employed,Master's,27.42,Own,24,Auto Loan,CA,1,29341,1
53,91802,48385,1,Married,Self-Employed,Bachelor's,29.54,Own,3,Home Loan,AZ,0,76994,0
50,130120,85906,0,Single,Employed,Master's,21.7,Rent,7,Home Loan,AZ,1,28237,1
35,145998,67286,4,Divorced,Unemployed,Master's,36.14,Mortgage,9,Education,CA,1,77876,0
48,117132,37111,0,Married,Self-Employed,Master's,23.89,Rent,9,Auto Loan,FL,3,27986,1
35,75399,16567,0,Single,Employed,Master's,26.55,Rent,13,Home Loan,AZ,3,20016,1
37,136206,98026,0,Single,Employed,Bachelor's,30.11,Rent,2,Auto Loan,AZ,4,69898,1
34,107851,47777,1,Married,Self-Employed,High School,22.49,Own,12,Home Loan,CA,0,24251,1
45,97603,49130,1,Single,Employed,High School,15.42,Own,22,Personal,FL,4,15051,1
27,86324,27016,4,Single,Employed,Master's,40.15,Own,10,Personal,FL,4,62390,0
57,102323,4635,3,Divorced,Unemployed,Bachelor's,16.7,Own,7,Education,FL,0,52713,0
33,88271,16767,1,Married,Self-Employed,Bachelor's,26.84,Own,8,Auto Loan,CA,0,23694,1
43,148468,26372,1,Married,Self-Employed,Master's,30.93,Rent,19,Auto Loan,AZ,2,45926,1
35,95966,61732,1,Married,Self-Employed,Bachelor's,20.21,Own,14,Personal,AZ,1,19390,1
33,40249,75464,2,Divorced,Employed,Master's,28.67,Mortgage,18,Home Loan,FL,0,28379,0
50,118080,1599,1,Married,Employed,Master's,47.93,Own,6,Home Loan,CA,1,85307,0
36,89984,39939,1,Single,Self-Employed,Bachelor's,11.93,Own,18,Education,CA,2,10734,1
47,45628,47773,1,Divorced,Employed,Master's,44.55,Mortgage,24,Auto Loan,AZ,4,76237,0
43,109283,75491,1,Single,Employed,Bachelor's,32.73,Own,22,Home Loan,CA,3,35768,1
40,148143,70229,1,Single,Self-Employed,Master's,12.86,Mortgage,2,Home Loan,AZ,2,73426,1
48,148106,74590,0,Married,Self-Employed,High School,15.57,Rent,30,Auto Loan,AZ,3,23060,1
49,126329,52574,4,Married,Unemployed,Master's,34.26,Mortgage,22,Education,FL,3,33117,0
48,41614,93651,0,Single,Self-Employed,High School,47.15,Own,29,Auto Loan,FL,0,28390,0
36,41391,90834,0,Married,Unemployed,High School,38.02,Own,23,Education,CA,3,84124,0
